filename,position
images/IMG_20240823_172945.jpg,3
images/IMG_20240823_171225.jpg,3
images/IMG_20240823_164837.jpg,3
images/IMG_20240823_170717.jpg,3
images/IMG_20240823_165355.jpg,3
images/IMG_20240823_165326.jpg,1
images/IMG_20240823_172911.jpg,4
images/IMG_20240823_172039.jpg,1
images/IMG_20240823_170224.jpg,3
images/IMG_20240823_172750.jpg,2
images/IMG_20240823_165704.jpg,1
images/IMG_20240823_170602.jpg,4
images/IMG_20240823_171203.jpg,3
images/IMG_20240823_165748.jpg,1
images/IMG_20240823_170049.jpg,3
images/IMG_20240823_170826.jpg,2
images/IMG_20240823_165214.jpg,1
images/IMG_20240823_165256.jpg,3
images/IMG_20240823_170745.jpg,4
images/IMG_20240823_173057.jpg,2
images/IMG_20240823_165038.jpg,4
images/IMG_20240823_164822.jpg,2
images/IMG_20240823_165009.jpg,3
images/IMG_20240823_165241.jpg,2
images/IMG_20240823_172320.jpg,2
images/IMG_20240823_171246.jpg,4
images/IMG_20240823_164621.jpg,1
images/IMG_20240823_172018.jpg,4
images/IMG_20240823_171123.jpg,4
images/IMG_20240823_173457.jpg,2
